x,y,species cloglog values
443.0,443.0,0.51532495
444.0,444.0,0.65370375
445.0,445.0,0.6955852
446.0,446.0,0.6127929
447.0,447.0,0.43587783
448.0,448.0,0.6759876
449.0,449.0,0.60251963
450.0,450.0,0.64966863
451.0,451.0,0.71008825
452.0,452.0,0.50881255
453.0,453.0,0.4577183
454.0,454.0,0.4940856
455.0,455.0,0.64195704
456.0,456.0,0.696537
457.0,457.0,0.6552438
458.0,458.0,0.40609992
459.0,459.0,0.72391456
460.0,460.0,0.5844587
461.0,461.0,0.7113599
462.0,462.0,0.62572306
463.0,463.0,0.5859536
464.0,464.0,0.44407493
465.0,465.0,0.400797
466.0,466.0,0.7357176
467.0,467.0,0.49501768
468.0,468.0,0.5617069
469.0,469.0,0.6837561
470.0,470.0,0.48634622
471.0,471.0,0.57220465
472.0,472.0,0.4599201
473.0,473.0,0.6533488
474.0,474.0,0.52293056
475.0,475.0,0.7025211
476.0,476.0,0.6203169
477.0,477.0,0.5403838
478.0,478.0,0.64740026
479.0,479.0,0.68341976
480.0,480.0,0.6182914
481.0,481.0,0.5652184
482.0,482.0,0.9666028
483.0,483.0,0.55356705
484.0,484.0,0.64995265
485.0,485.0,0.6480191
486.0,486.0,0.78516394
487.0,487.0,0.5367781
488.0,488.0,0.70878804
489.0,489.0,0.48308963
490.0,490.0,0.6346826
491.0,491.0,0.564909
492.0,492.0,0.7730741
493.0,493.0,0.49183103
494.0,494.0,0.5509104
495.0,495.0,0.58153635
496.0,496.0,0.5263381
497.0,497.0,0.73177916
498.0,498.0,0.5823334
499.0,499.0,0.5933914
500.0,500.0,0.5257643
501.0,501.0,0.9487364
502.0,502.0,0.8274948
503.0,503.0,0.86078674
504.0,504.0,0.52460676
505.0,505.0,0.64769
506.0,506.0,0.4493385
507.0,507.0,0.4956398
508.0,508.0,0.65204084
509.0,509.0,0.4879336
510.0,510.0,0.5180466
511.0,511.0,0.58222765
512.0,512.0,0.61341643
513.0,513.0,0.58631706
514.0,514.0,0.5649756
515.0,515.0,0.67549974
516.0,516.0,0.59305614
517.0,517.0,0.43430197
518.0,518.0,0.50556076
519.0,519.0,0.5026179
520.0,520.0,0.69973546
521.0,521.0,0.6060145
522.0,522.0,0.5859683
523.0,523.0,0.74787647
524.0,524.0,0.59878695
525.0,525.0,0.64809287
526.0,526.0,0.47729388
527.0,527.0,0.47009706
528.0,528.0,0.66366893
529.0,529.0,0.61354107
530.0,530.0,0.5516395
531.0,531.0,0.6497165
532.0,532.0,0.68812966
533.0,533.0,0.43922722
534.0,534.0,0.7494124
535.0,535.0,0.53470355
536.0,536.0,0.69947696
537.0,537.0,0.77318615
538.0,538.0,0.68608636
539.0,539.0,0.59082884
540.0,540.0,0.507529
541.0,541.0,0.6989076
542.0,542.0,0.5981973
543.0,543.0,0.74109447
544.0,544.0,0.59773326
545.0,545.0,0.7741614
546.0,546.0,0.67614114
547.0,547.0,0.6644174
548.0,548.0,0.6947355
549.0,549.0,0.79151946
550.0,550.0,0.43283942
551.0,551.0,0.67193794
552.0,552.0,0.541885
553.0,553.0,0.66752696
554.0,554.0,0.6551694
555.0,555.0,0.5489895
556.0,556.0,0.69228494
557.0,557.0,0.6642652
558.0,558.0,0.46113536
559.0,559.0,0.50750744
560.0,560.0,0.68676716
561.0,561.0,0.5951981
562.0,562.0,0.54901254
563.0,563.0,0.42949662
564.0,564.0,0.73128736
565.0,565.0,0.53051084
566.0,566.0,0.522801
567.0,567.0,0.42012483
568.0,568.0,0.5525238
569.0,569.0,0.71313924
570.0,570.0,0.46953323
571.0,571.0,0.5605594
572.0,572.0,0.6318511
573.0,573.0,0.8023419
574.0,574.0,0.57835674
575.0,575.0,0.5294154
576.0,576.0,0.5159812
577.0,577.0,0.49398232
578.0,578.0,0.6969499
579.0,579.0,0.42532718
580.0,580.0,0.55219257
581.0,581.0,0.694344
582.0,582.0,0.4886207
583.0,583.0,0.5799236
584.0,584.0,0.52082837
585.0,585.0,0.6234978
586.0,586.0,0.4765455
587.0,587.0,0.68034893
588.0,588.0,0.5525561
589.0,589.0,0.4737142
590.0,590.0,0.64916754
591.0,591.0,0.4355351
592.0,592.0,0.7217693
593.0,593.0,0.53699833
594.0,594.0,0.67697334
595.0,595.0,0.56632817
596.0,596.0,0.70594305
597.0,597.0,0.56903976
598.0,598.0,0.6189376
599.0,599.0,0.60583645
600.0,600.0,0.6099078
601.0,601.0,0.6874646
602.0,602.0,0.56519413
603.0,603.0,0.5125829
604.0,604.0,0.61269283
605.0,605.0,0.44870096
606.0,606.0,0.4565283
607.0,607.0,0.48999602
608.0,608.0,0.6931987
609.0,609.0,0.6003851
610.0,610.0,0.5003677
611.0,611.0,0.8234918
612.0,612.0,0.49202693
613.0,613.0,0.72324646
614.0,614.0,0.6196077
615.0,615.0,0.4985264
616.0,616.0,0.67402315
617.0,617.0,0.62823206
618.0,618.0,0.57813376
619.0,619.0,0.77512825
620.0,620.0,0.54412204
621.0,621.0,0.6056794
622.0,622.0,0.5812865
623.0,623.0,0.5689807
624.0,624.0,0.5649339
625.0,625.0,0.53117293
626.0,626.0,0.43662107
627.0,627.0,0.65271807
628.0,628.0,0.5975812
629.0,629.0,0.65793973
630.0,630.0,0.5549858
631.0,631.0,0.5115555
632.0,632.0,0.48364568
633.0,633.0,0.6669475
634.0,634.0,0.75711805
635.0,635.0,0.58375543
636.0,636.0,0.8817158
637.0,637.0,0.67746353
638.0,638.0,0.60429436
639.0,639.0,0.646222
640.0,640.0,0.7396553
641.0,641.0,0.71561784
642.0,642.0,0.39996552
643.0,643.0,0.7445967
644.0,644.0,0.42499155
645.0,645.0,0.48600665
646.0,646.0,0.7000912
647.0,647.0,0.73361826
648.0,648.0,0.42055717
649.0,649.0,0.4885829
650.0,650.0,0.766651
651.0,651.0,0.4171666
652.0,652.0,0.37592348
653.0,653.0,0.6823563
654.0,654.0,0.7408299
655.0,655.0,0.7137701
656.0,656.0,0.48754543
657.0,657.0,0.47531515
658.0,658.0,0.51990557
659.0,659.0,0.57273805
660.0,660.0,0.6018195
661.0,661.0,0.5533366
662.0,662.0,0.6365151
663.0,663.0,0.6508331
664.0,664.0,0.6345477
665.0,665.0,0.6474451
666.0,666.0,0.7288086
667.0,667.0,0.59380466
668.0,668.0,0.61339265
669.0,669.0,0.37880167
670.0,670.0,0.6467762
671.0,671.0,0.72529644
672.0,672.0,0.48653352
673.0,673.0,0.4942957
674.0,674.0,0.59290785
675.0,675.0,0.5256915
676.0,676.0,0.4768335
677.0,677.0,0.67304504
678.0,678.0,0.49372262
679.0,679.0,0.43339598
680.0,680.0,0.5518869
681.0,681.0,0.501676
682.0,682.0,0.7761996
683.0,683.0,0.5139685
