X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
35.0,35.0,train,5.3378993396188E-4,31.801872404943463,0.6469237275552622
36.0,36.0,train,5.700858430999748E-4,36.103940628181924,0.6710536110720149
37.0,37.0,train,7.548526175103804E-4,99.92238197579205,0.7705839902930325
39.0,39.0,train,6.42603767716207E-4,68.73559752610096,0.7144376855127395
40.0,40.0,train,6.884071396848876E-4,85.79330864389215,0.7388413231524467
41.0,41.0,train,6.80320777057934E-4,82.46035758523915,0.7346899012038264
42.0,42.0,train,7.174738478538542E-4,91.50941984923355,0.7532345590947255
44.0,44.0,train,7.464244121749019E-4,99.02507408222581,0.7667817181607647
45.0,45.0,train,5.870747006221735E-4,42.868750400824744,0.6817743382430537
46.0,46.0,train,5.951349255186233E-4,46.638043374703855,0.6867377840135036
47.0,47.0,train,6.501964163706958E-4,71.74535933914207,0.718635204215771
48.0,48.0,train,6.040110738421004E-4,50.37186365742209,0.6921141507911134
49.0,49.0,train,6.589114693566105E-4,75.3128153519453,0.7233772325258438
50.0,50.0,train,6.376913374526127E-4,66.37340251973647,0.7116885923234271
51.0,51.0,train,6.55136835269489E-4,73.40734484550136,0.721333272487264
52.0,52.0,train,4.211268478013286E-4,24.01112691095366,0.560158127336779
53.0,53.0,train,5.911845583883436E-4,44.8762083816135,0.6843149167933841
54.0,54.0,train,6.050906048570814E-4,50.77951570674711,0.6927617074637543
55.0,55.0,train,6.153001109109486E-4,55.77187485672277,0.6988189289813249
57.0,57.0,train,4.2115327016138796E-4,24.013139901776448,0.5601807929268869
58.0,58.0,train,3.3101086444032473E-4,14.428928157630459,0.47564340714937836
59.0,59.0,train,6.321966058242522E-4,64.01802380557282,0.7085822628986923
63.0,63.0,train,7.472530842374361E-4,99.3237105524353,0.7671583390699939
65.0,65.0,train,7.514945167931987E-4,99.77336959881112,0.7690765141438607
67.0,67.0,train,7.3668102423456E-4,97.14890391663249,0.7623075161141991
68.0,68.0,train,6.128925248473452E-4,54.31066144948659,0.6974013751042235
70.0,70.0,train,6.213999696674086E-4,58.81488726950685,0.7023807877958461
71.0,71.0,train,5.845986379970588E-4,41.89316452531489,0.6802338587310035
72.0,72.0,train,5.927133407434872E-4,45.7009121107798,0.6852547752869391
74.0,74.0,train,7.218782583142124E-4,93.30928582415352,0.7553452186389167
75.0,75.0,train,6.361493198986951E-4,65.77520424070636,0.7108202031276765
76.0,76.0,train,6.425558025601208E-4,68.66439477822789,0.7144109703938066
77.0,77.0,train,6.400299631202708E-4,67.38107572385135,0.7130006185752751
78.0,78.0,train,7.194897245073816E-4,92.17247553716285,0.7542028478083082
80.0,80.0,train,6.553353099424417E-4,73.65052572541913,0.7214411215069376
82.0,82.0,train,7.153231815538217E-4,91.18674030172538,0.7521973207616371
83.0,83.0,train,5.88409716275941E-4,43.58716230672203,0.6826018350532588
85.0,85.0,train,4.27189554021689E-4,24.423528948640577,0.5653283357222105
86.0,86.0,train,6.830003578816071E-4,83.35487813698853,0.7360728189455469
87.0,87.0,train,1.8222817383333452E-4,3.0760699439869716,0.2991116402300823
89.0,89.0,train,6.375545748876746E-4,66.31897667672213,0.7116116798056991
90.0,90.0,train,4.175772992374963E-4,23.52723509498879,0.5571026161673474
93.0,93.0,train,6.287859935263869E-4,62.377096153174406,0.7066373345375734
94.0,94.0,train,6.476374249947823E-4,70.52555405931898,0.7172274305604633
96.0,96.0,train,6.300255047144404E-4,62.75670785274061,0.707345672464859
97.0,97.0,train,1.9429426340398856E-4,4.002189646662754,0.31541305653560237
98.0,98.0,train,7.265423774881489E-4,94.77837798448995,0.757560656545028
99.0,99.0,train,5.703648022996658E-4,36.16767237879222,0.6712325305891719
100.0,100.0,train,1.9391200917545068E-4,3.9622192117896677,0.31490248940556287
101.0,101.0,train,4.1459056055977725E-4,23.28883682637732,0.5545151426506393
102.0,102.0,train,7.020985639761223E-4,88.53042131718752,0.7457227353065036
