"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"48","Carapa procera",0.7073,0.0214,90.9763,0.1084,8.8939,2.2876,93.0509,4.2371,0.4245
"49","Cassia sieberiana",0.68,61.1316,0.4818,0,38.3866,77.44,18.5951,0,3.9649
"50","Celtis mildbraedii",0.8279,2.1844,28.0793,0.1651,69.5713,3.1846,68.8098,0.3231,27.6825
"51","Cercestis afzelii",0.8521,0.0283,23.1216,0,76.8501,0.1227,61.9821,0,37.8953
"52","Chamaecrista mimosoides",0.6951,0.0223,0.434,39.2781,60.2656,0,13.9797,7.4732,78.5471
"53","Chromolaena odorata",0.8154,31.2289,0,0,68.7711,22.1223,0,0,77.8777
"54","Cissampelos mucronata",0.6953,6.2215,0,0,93.7785,23.3435,0,0,76.6565
"55","Citrullus lanatus",0.6962,53.6909,1.2324,0,45.0767,40.8518,7.3037,0,51.8445
"56","Clausena anisata",0.7763,11.1178,88.1394,0,0.7428,19.1488,80.7091,0,0.1421
"57","Cleistopholis patens",0.8045,0,13.5111,0.0327,86.4562,0,0,0.8236,99.1764
"58","Clerodendrum capitatum",0.6738,2.1452,24.3277,0,73.527,23.4495,4.0853,0,72.4652
"59","Cnestis ferruginea",0.7685,9.2947,72.1102,2.5922,16.0029,3.0746,92.2526,3.2515,1.4213
"60","Cochlospermum planchonii",0.6766,51.6614,28.3109,3.2693,16.7585,30.1361,54.7293,3.9791,11.1555
"61","Coix lacryma-jobi",0.7967,3.8991,94.8345,1.1335,0.1329,8.8954,83.847,6.4906,0.767
"62","Cola gigantea",0.7562,0.2645,23.1016,0.0366,76.5973,2.7388,0,1.2024,96.0588
"63","Cola nitida",0.8016,0,32.7384,0.6193,66.6422,0,66.7233,0.3623,32.9144
"64","Colocasia esculenta",0.8006,7.506,35.1917,1.0759,56.2264,7.7266,68.6182,0.5239,23.1313
"65","Combretum adenogonium",0.715,14.6014,73.7686,0.7796,10.8503,2.3579,95.8771,1.7651,0
"66","Combretum dolichopetalum",0.8619,0,78.1831,0.238,21.579,0,78.8015,0.3679,20.8306
"67","Combretum molle",0.6726,0,97.8095,2.1905,0,0,100,0,0
"68","Combretum mucronatum",0.6538,1.7983,88.9152,4.1666,5.1198,5.666,94.334,0,0
"69","Combretum platypterum",0.8918,4.6481,95.3519,0,0,8.2843,91.7157,0,0
"70","Combretum racemosum",0.776,15.0682,67.7914,0.005,17.1353,26.9185,63.9806,0.0022,9.0986
"71","Copaifera salikounda",0.7921,0,88.7498,0.0026,11.2476,0,91.8991,0.115,7.9859
"72","Corchorus olitorius",0.768,93.0337,0,0,6.9663,37.4818,0,0,62.5182
"73","Cordia dichotoma",0.902,70.5589,24.1252,5.316,0,57.0546,42.9454,0,0
"74","Cordia millenii",0.8455,3.7903,19.2749,0,76.9347,13.9528,51.4259,0,34.6213
"75","Corynanthe pachyceras",0.764,0,43.7029,0.1148,56.1824,0,62.4885,0,37.5115
"76","Crossopteryx febrifuga",0.6281,83.2326,0.2454,8.3679,8.1541,67.6448,0,13.6586,18.6967
"77","Crotalaria macrocalyx",0.8185,0,66.083,5.0607,28.8563,0,71.363,5.9216,22.7154
"78","Cryptolepis nigrescens",0.7871,22.597,34.2682,1.1247,42.0101,19.359,59.7509,0,20.8901
"79","Cussonia arborea",0.7853,27.262,2.1421,10.6303,59.9657,36.9914,8.201,0,54.8076
"80","Cussonia bancoensis",0.8257,0,14.2267,3.2356,82.5376,0,13.6057,15.5165,70.8778
"81","Cyathula prostrata",0.8426,1.2344,75.7371,2.8547,20.1738,6.4674,89.6838,3.8488,0
"82","Cymbopogon giganteus",0.7301,1.9217,97.4559,0.0103,0.6121,5.4504,93.2932,0,1.2563
"83","Cyperus articulatus",0.6824,91.1197,0,0,8.8803,69.858,0,0,30.142
"84","Cyperus rotundus",0.7929,41.2338,0,27.2138,31.5524,60.2317,0,3.2739,36.4944
"85","Desmodium adscendens",0.8087,2.0126,52.8591,0.4576,44.6707,1.968,76.0148,3.2742,18.743
"86","Detarium microcarpum",0.7127,5.7137,36.8998,0.6085,56.7781,0,61.367,0.1357,38.4973
"87","Dialium dinklagei",0.8176,0,68.7425,0,31.2575,0,92.4265,0,7.5735
"88","Dichrostachys cinerea",0.6348,4.4983,1.9626,75.7509,17.7882,11.2073,7.3716,27.7155,53.7056
"89","Dioscorea alata",0.6508,15.5627,62.4991,0.7858,21.1525,18.5204,52.7292,1.3392,27.4113
"90","Dioscorea bulbifera",0.682,7.5099,0.2758,0,92.2143,27.0984,0,0,72.9016
"91","Dioscorea cayenensis",0.608,20.612,1.7786,0,77.6094,45.7647,11.5769,0,42.6584
"92","Dioscorea dumetorum",0.6881,8.3677,34.5337,0.4559,56.6427,12.9804,60.047,0,26.9727
"93","Diospyros mespiliformis",0.7791,33.7297,63.9101,0,2.3602,36.5633,59.1011,0,4.3356
"94","Discoglypremna caloneura",0.8739,0.497,5.6543,0.7824,93.0663,8.2219,21.2141,5.853,64.7111
"95","Dracaena arborea",0.7803,0,42.6731,0,57.3269,0,83.0929,0,16.9071
"96","Drypetes aubrevillei",0.8649,24.6992,56.4751,0.021,18.8046,15.0561,79.189,0.178,5.5769
"97","Drypetes floribunda",0.8292,97.6044,0,0,2.3956,98.4143,0,0,1.5857
"98","Duvernoia extensa",0.7859,0.1432,99.6106,0.013,0.2332,2.6458,94.7871,0,2.5672
"99","Eclipta alba",0.7853,0.7279,1.3932,5.753,92.1259,1.2273,16.3452,3.3612,79.0663
"100","Elaeis guineensis",0.8561,0,0.2782,1.8129,97.9089,0,16.768,10.6615,72.5704
"101","Entada abyssinica",0.7033,88.6626,1.7926,9.5448,0,86.8863,0.7122,12.4015,0
"102","Entandrophragma angolense",0.7618,0.4088,42.7804,0.6846,56.1262,0.9219,66.5472,14.1625,18.3684
"103","Entandrophragma cylindricum",0.7898,0,25.1634,0.0728,74.7637,0,61.8224,0.1076,38.0699
"104","Eremospatha macrocarpa",0.9171,21.4816,17.7152,0.0402,60.7631,10.8008,54.4567,0.3811,34.3614
"105","Erythrina senegalensis",0.6879,4.1248,85.9054,9.6233,0.3466,10.8844,81.9919,7.1237,0
"106","Ethulia conyzoides",0.5413,0,0,0,100,0,0,0,0
"107","Euadenia eminens",0.8484,0,71.7258,0,28.2742,0,92.4762,0,7.5238
"108","Euphorbia drupifera",0.8998,60.9389,3.2973,0,35.7638,89.494,1.4133,0,9.0927
"109","Euphorbia heterophylla",0.7284,0,78.9547,0,21.0453,0,62.9162,0,37.0838
"110","Euphorbia hirta",0.729,1.862,0,67.0474,31.0906,16.8322,0,39.2095,43.9583
"111","Ficus asperifolia",0.6668,0,9e-04,1.0867,98.9124,0,0,1.209,98.791
"112","Ficus exasperata",0.7613,1.0574,29.6132,0,69.3294,16.8694,32.1764,0,50.9542
"113","Ficus natalensis",0.7671,0,48.7262,0,51.2738,0,100,0,0
"114","Ficus platyphylla",0.6856,0.1214,0,0,99.8786,93.0523,0,0,6.9477
"115","Ficus sur",0.6066,12.5634,15.2434,0.196,71.9971,20.1413,23.832,4.0571,51.9696
"116","Ficus sycomorus",0.8027,3.8621,69.199,0,26.9389,12.2711,87.7289,0,0
"117","Flueggea virosa",0.7821,48.148,0,17.9948,33.8572,58.4708,0,0,41.5292
"118","Funtumia elastica",0.7955,0.2575,46.9046,0.2047,52.6332,2.3559,69.7325,2.8571,25.0545
"119","Garcinia kola",0.7847,0,82.2634,0,17.7366,0,81.9675,0,18.0325
"120","Gardenia ternifolia",0.6952,1.0413,3.1481,17.1695,78.6412,18.7727,39.5222,15.8393,25.8658
"121","Glyphaea brevis",0.8017,2.7269,41.449,1.1974,54.6267,6.6176,63.7592,2.5422,27.0809
"122","Gossypium hirsutum",0.6967,32.9671,28.2537,1.5353,37.2439,44.3825,48.7257,2.6813,4.2105
"123","Griffonia simplicifolia",0.8122,1.2044,21.8441,15.8951,61.0564,7.5433,9.5812,18.2166,64.6589
"124","Grossera vignei",0.8405,8.4108,47.8783,0,43.7109,12.8127,71.0712,0,16.1161
"125","Gymnanthemum coloratum",0.6874,56.2464,0.0184,0,43.7352,89.5961,6.8271,0,3.5768
"126","Gymnosporia senegalensis",0.7057,5.3481,93.9655,0.0804,0.606,0,100,0,0
"127","Haematostaphis barteri",0.854,0,93.4362,5.3659,1.198,0,85.7124,8.254,6.0336
"128","Heliotropium indicum",0.7452,0,7.8327,48.3725,43.7948,0,31.0816,64.1898,4.7285
"129","Heritiera utilis",0.8275,29.0974,45.0143,0.1132,25.775,35.9647,62.5015,0.6912,0.8426
"130","Heterotis rotundifolia",0.7382,0,69.8533,0.1826,29.9641,0,69.0987,0,30.9013
"131","Hibiscus cannabinus",0.7757,17.353,38.1789,5.7733,38.6947,7.7108,86.1171,0.2399,5.9323
"132","Holarrhena floribunda",0.7907,29.7078,44.6555,10.7638,14.873,15.6846,65.7272,4.4636,14.1246
"133","Hoslundia opposita",0.7409,0,23.2404,31.5916,45.168,0,39.1118,30.7796,30.1086
"134","Hygrophila schulli",0.6914,71.1609,0,7.2955,21.5437,63.1746,0,8.2317,28.5937
"135","Indigofera pulchra",0.7892,8.3735,0,4.7005,86.926,60.9823,0,2.2582,36.7595
"136","Ipomoea eriocarpa",0.6599,0,5.0627,0,94.9373,0,0,0,100
"137","Isoberlinia doka",0.7983,3.0411,53.1656,6.2062,37.5871,0,50.9906,31.583,17.4264
"138","Jatropha gossypiifolia",0.7997,0,0,10.668,89.332,0,0,27.7164,72.2836
"139","Justicia flava",0.678,0.0658,24.1515,74.1156,1.6671,0.8059,58.8658,27.1997,13.1286
"140","Khaya anthotheca",0.7498,1.0113,15.0561,0.2656,83.6669,7.5602,9.1386,0.1747,83.1265
"141","Khaya senegalensis",0.686,0,44.3095,0,55.6905,0,82.1237,0,17.8763
"142","Kigelia africana",0.7658,1.5556,0,0,98.4444,12.3162,0,0,87.6838
"143","Landolphia owariensis",0.8051,0,96.2013,0,3.7987,0,93.549,0,6.451
"144","Lannea acida",0.7186,18.4506,5.866,11.7673,63.9162,22.2139,17.621,0.8997,59.2653
"145","Lantana camara",0.7709,3.1712,0,32.3668,64.462,1.3285,0,5.5923,93.0792
"146","Launaea taraxacifolia",0.8721,50.517,6.6331,0.0384,42.8116,33.0565,7.645,0.1692,59.1294
"147","Lecaniodiscus cupanioides",0.6982,22.9277,64.0341,0.0518,12.9864,14.3997,73.4981,0.129,11.9732
"148","Leucas martinicensis",0.7518,0,47.475,0,52.525,0,42.6936,0,57.3064
"149","Ludwigia octovalvis",0.7651,0,0.1728,33.0103,66.817,0,26.0461,44.017,29.9369
"150","Macaranga barteri",0.8541,3.416,70.9529,0,25.631,0.1338,99.8662,0,0
"151","Mallotus oppositifolius",0.751,10.3566,30.8835,9.3355,49.4244,31.7114,31.999,7.3106,28.9789
"152","Mammea africana",0.799,0,46.5731,0,53.4269,0,44.1401,0,55.8599
"153","Manihot esculenta",0.6617,0.0118,35.7084,0.7903,63.4895,0,47.8318,0,52.1682
"154","Mansonia altissima",0.8223,11.3207,13.697,0.6375,74.3448,4.958,48.5395,1.4393,45.0632
"155","Maranthes polyandra",0.7739,14.4825,26.0217,10.9014,48.5945,2.6166,41.1349,24.9153,31.3332
"156","Maranthes robusta",0.8581,0,48.6608,0.176,51.1632,0,79.393,3.0349,17.5721
"157","Marantochloa leucantha",0.8336,0.6106,42.3665,0,57.023,0,76.778,0,23.222
"158","Mareya micrantha",0.7618,0,63.9327,0,36.0673,0,91.0205,0,8.9795
"159","Marsdenia latifolia",0.8023,0,87.037,0,12.963,0,96.5132,0,3.4868
"160","Mesosphaerum pectinatum",0.7415,18.8192,0.1102,0,81.0705,29.0389,2.0728,0,68.8883
"161","Microdesmis puberula",0.7784,0.5227,63.8615,0,35.6158,2.4076,90.1182,0,7.4742
"162","Milicia excelsa",0.7506,2.3728,85.4161,2.64,9.571,5.864,85.8585,3.4413,4.8362
"163","Milicia regia",0.8429,0,85.06,0.6268,14.3132,0,86.3753,9.9766,3.6481
"164","Mitracarpus hirtus",0.7449,14.1571,1.228,45.2234,39.3915,23.7638,0,34.0201,42.2161
"165","Mitragyna inermis",0.7551,62.611,4.6946,0.5273,32.1671,60.0271,23.6001,0,16.3727
"166","Momordica charantia",0.8173,0,69.875,0,30.125,0,75.3325,0,24.6675
"167","Monodora myristica",0.7918,1.2902,79.9953,0.0276,18.6869,0,95.8134,0.2326,3.954
"168","Monosis conferta",0.8492,1.2852,47.8948,0,50.8201,5.5332,80.3495,0,14.1173
"169","Morinda lucida",0.77,1.8594,56.4831,13.6809,27.9766,10.0859,25.5349,8.3113,56.068
"170","Moringa oleifera",0.7845,0,0.6774,0,99.3226,0,66.9527,0,33.0473
"171","Nauclea diderrichii",0.811,0,26.096,2.3792,71.5247,0,42.3284,6.5854,51.0862
"172","Nauclea latifolia",0.7244,35.6253,2.4881,3.3067,58.5799,57.4678,16.3235,0.696,25.5127
"173","Newbouldia laevis",0.805,2.2371,32.8917,0,64.8712,2.4398,64.6429,0,32.9174
"174","Ochna rhizomatosa",0.8467,0,92.6963,2.9965,4.3072,0,86.6022,0,13.3978
"175","Ocimum americanum",0.6459,0,0,0,100,0,0,0,100
"176","Ocimum gratissimum",0.7941,1.2831,90.4376,0,8.2792,8.048,77.1716,0,14.7804
"177","Oncoba spinosa",0.7283,23.2073,19.7546,0,57.0381,6.1461,21.9772,0,71.8767
"178","Parinari excelsa",0.8661,7.5429,37.9542,0,54.5029,3.2992,68.6239,0,28.0768
"179","Parkia bicolor",0.8553,3.1431,26.3806,0,70.4763,0,56.0535,0,43.9465
"180","Parkia biglobosa",0.6964,47.2493,1.7077,18.0139,33.029,77.517,20.582,1.9011,0
"181","Paullinia pinnata",0.6698,14.9082,0,0.0863,85.0055,18.6463,0,2.1035,79.2502
"182","Pentaclethra macrophylla",0.8428,17.1049,44.5729,0.6377,37.6845,11.4345,82.3781,2.7642,3.4232
"183","Pericopsis laxiflora",0.7678,19.9023,24.2798,0.6799,55.138,15.4831,61.486,0.3413,22.6897
"184","Phragmanthera capitata",0.8639,5.17,81.1125,1.3612,12.3563,12.2698,70.9719,11.0617,5.6965
"185","Phyllanthus muellerianus",0.5558,0,52.6456,0,47.3544,0,100,0,0
"186","Physalis angulata",0.6574,2.8294,0,62.9646,34.206,29.7884,0,7.4913,62.7203
"187","Picralima nitida",0.7928,0,92.8687,0,7.1313,0,77.224,0,22.776
"188","Piper guineense",0.8142,0,72.7875,0.0168,27.1957,0,94.4345,0.1157,5.4498
"189","Piper umbellatum",0.7516,0,9.2821,0.1109,90.6071,0,31.1153,1.9252,66.9595
"190","Pleiocarpa pycnantha",0.9086,83.1118,0,0,16.8882,68.3868,4.1934,0,27.4198
"191","Pouteria alnifolia",0.7558,69.4378,5.1927,0.302,25.0675,62.0074,17.3897,0.8844,19.7185
"192","Pouteria altissima",0.8163,0.3866,23.1506,0,76.4628,0,41.3954,0,58.6046
"193","Prosopis africana",0.7668,0,100,0,0,0,100,0,0
"194","Pseudocedrela kotschyi",0.7598,30.9892,23.0541,41.1324,4.8242,51.9979,15.1358,32.8663,0
"195","Pterocarpus erinaceus",0.6851,35.533,15.9073,6.6295,41.9303,53.3788,38.1411,2.2305,6.2496
"196","Pterocarpus santalinoides",0.5704,0,0,47.5687,52.4313,0,0,0,0
"197","Pterygota macrocarpa",0.816,4.9945,15.7125,0.0183,79.2748,14.6493,31.1233,0,54.2275
"198","Pycnanthus angolensis",0.843,6.3841,18.1515,1.1354,74.329,1.3209,48.2326,3.6683,46.7782
"199","Quassia undulata",0.6816,46.3134,16.3585,14.4005,22.9276,55.4683,16.6905,9.9369,17.9043
"200","Rauvolfia vomitoria",0.8123,0.9041,59.8029,2.8593,36.4336,0.8661,93.8794,2.9564,2.2982
"201","Ricinodendron heudelotii",0.778,0.2588,64.6999,0.4093,34.632,0,93.3626,3.739,2.8985
"202","Rourea coccinea",0.6869,0,0.4345,77.1424,22.4231,0,0,100,0
"203","Saba senegalensis",0.8149,0,96.4284,0.2533,3.3184,0,99.2039,0,0.7961
"204","Sarcophrynium brachystachys",0.7795,0,79.6717,0.4909,19.8374,0,71.6981,6.1337,22.1682
"205","Scoparia dulcis",0.6486,0,0,54.137,45.863,0,0,29.4833,70.5167
"206","Secamone afzelii",0.8009,3.5966,75.3558,4.364,16.6837,6.5222,85.5572,4.256,3.6646
"207","Senegalia kamerunensis",0.8303,0.7938,84.0396,0,15.1667,0.9127,99.0873,0,0
"208","Senna occidentalis",0.7203,0,5.4818,14.9053,79.6129,0,63.2231,13.7866,22.9902
"209","Senna podocarpa",0.5,0,0,0,0,0,0,0,0
"210","Senna siamea",0.7029,25.3231,0,8.8552,65.8217,66.6667,0,8.2753,25.0581
"211","Sida acuta",0.6957,0,0,28.2081,71.7919,0,0,13.5531,86.4469
"212","Sida cordifolia",0.6907,0,0,6.2856,93.7144,0,0,9.6401,90.3599
"213","Smilax anceps",0.6227,24.7874,75.2126,0,0,0,100,0,0
"214","Solanum donianum",0.8143,0,100,0,0,0,100,0,0
"215","Solanum melongena",0.8099,0,0.9492,0,99.0508,0,55.9966,0,44.0034
"216","Solanum torvum",0.8217,8.968,43.2947,23.1004,24.6369,15.8461,58.6596,12.691,12.8033
"217","Sorghum bicolor",0.8283,0.8634,98.0793,0.008,1.0493,0.8067,98.1727,0,1.0205
"218","Spathodea campanulata",0.8038,36.9543,8.8276,0,54.2181,38.1657,39.9731,0,21.8612
"219","Spermacoce verticillata",0.55,0,100,0,0,0,100,0,0
"220","Sphenocentrum jollyanum",0.834,0.1248,63.1424,0,36.7329,0.2129,76.0658,0,23.7213
"221","Spondias mombin",0.5503,0,99.9059,0.0941,0,0,98.4472,1.5528,0
"222","Stachytarpheta indica",0.6781,0,0,29.5155,70.4845,0,0,0,100
"223","Sterculia setigera",0.7114,4.6807,21.6042,16.9656,56.7495,8.2299,43.0144,25.1701,23.5855
"224","Sterculia tragacantha",0.7314,2.1508,52.5736,0.2706,45.005,2.3559,73.5979,0.3484,23.6978
"225","Strophanthus gratus",0.8483,0.6715,78.4548,0.3604,20.5133,0.2566,97.9378,0,1.8056
"226","Strophanthus hispidus",0.6622,18.206,4.8797,27.7433,49.1709,0,32.7845,25.115,42.1004
"227","Strychnos innocua",0.8441,0,99.2689,0,0.7311,0,100,0,0
"228","Strychnos spinosa",0.664,7.8085,63.5603,3.8361,24.7952,30.5877,64.4488,2.1564,2.8072
"229","Tabernaemontana crassa",0.9422,32.405,66.9925,0.6025,0,9.2466,88.4418,2.3116,0
"230","Talbotiella gentii",0.7435,24.816,61.2041,4.303,9.6769,16.9716,70.3961,2.5459,10.0864
"231","Tamarindus indica",0.7403,0,50.3265,0,49.6735,0,0,0,100
"232","Terminalia avicennioides",0.8568,1.5239,86.8963,0.0122,11.5676,2.6266,92.2291,0,5.1444
"233","Terminalia ivorensis",0.8181,0,41.5545,20.1196,38.3259,0,76.5357,17.6954,5.7689
"234","Terminalia leiocarpa",0.7285,42.386,0.5848,18.9848,38.0443,39.7119,40.9515,0,19.3365
"235","Terminalia superba",0.7723,3.5373,23.6942,0,72.7686,9.2747,46.2634,0,44.4619
"236","Tetrapleura tetraptera",0.7962,10.1342,9.4078,0,80.458,8.7052,26.9887,0,64.306
"237","Thaumatococcus daniellii",0.816,0.2686,57.8267,0.3065,41.5982,0.7773,91.3665,0.0501,7.8061
"238","Theobroma cacao",0.7511,0,80.8596,0,19.1404,0,88.2364,0,11.7636
"239","Tiliacora funifera",0.9275,96.4803,3.5197,0,0,74.172,25.828,0,0
"240","Trema orientalis",0.6632,11.5542,9.5362,16.5298,62.3797,17.8502,0,3.5653,78.5844
"241","Trichilia monadelpha",0.7966,0,52.5933,1.1264,46.2804,0,70.9899,2.8121,26.1981
"242","Tridax procumbens",0.7065,0,0,0,100,46.8125,0,0,53.1875
"243","Trilepisium madagascariense",0.7603,0,34.6188,0.0066,65.3746,0,98.9258,0,1.0742
"244","Triplochiton scleroxylon",0.792,11.8837,25.0455,0.2883,62.7825,36.3758,29.4033,0.3369,33.8841
"245","Triumfetta cordifolia",0.6819,0,100,0,0,0,100,0,0
"246","Uapaca guineensis",0.8364,9.16,83.7857,6.5324,0.522,8.4766,78.7358,12.7876,0
"247","Uvaria ovata",0.8772,24.9982,11.4371,0.4536,63.1111,54.792,37.2565,0.5788,7.3727
"248","Vitellaria paradoxa",0.797,0,13.6431,0,86.3569,0,34.7246,0,65.2754
"249","Vitex doniana",0.6312,75.7919,21.808,2.4001,0,20.3484,79.6516,0,0
"250","Waltheria indica",0.7812,0,38.805,13.6603,47.5347,0,17.7476,24.0891,58.1633
"251","Wissadula amplissima",0.8286,43.3365,0,3e-04,56.6632,77.0594,0,0.0374,22.9032
"252","Xanthosoma sagittifolium",0.7934,3.98,77.0286,0.8253,18.1661,3.421,90.902,1.3102,4.3669
"253","Xeroderris stuhlmannii",0.8443,0,99.1724,0,0.8276,0,96.8007,0,3.1993
"254","Ximenia americana",0.7474,4.9675,83.9999,9.2501,1.7825,2.7658,87.6404,7.2788,2.315
"255","Zanthoxylum zanthoxyloides",0.7126,72.8625,0,6.4399,20.6976,97.1426,0,1.5855,1.2719
"256","Zea mays",0.7273,0,48.5944,0.3743,51.0314,0,83.7937,0.231,15.9752
