"","species","AUC","bio16.contribution","bio4.contribution","gpw2000_30_sec.contribution","simplelc2000.contribution","bio16.permutation.importance","bio4.permutation.importance","gpw2000_30_sec.permutation.importance","simplelc2000.permutation.importance"
"59","Sida acuta",0.6957,0,0,28.2081,71.7919,0,0,13.5531,86.4469
"60","Solanum donianum",0.8143,0,100,0,0,0,100,0,0
"61","Spathodea campanulata",0.8038,36.9543,8.8276,0,54.2181,38.1657,39.9731,0,21.8612
"62","Spermacoce verticillata",0.55,0,100,0,0,0,100,0,0
"63","Spondias mombin",0.5503,0,99.9059,0.0941,0,0,98.4472,1.5528,0
"64","Terminalia avicennioides",0.8568,1.5239,86.8963,0.0122,11.5676,2.6266,92.2291,0,5.1444
"65","Terminalia superba",0.7723,3.5373,23.6942,0,72.7686,9.2747,46.2634,0,44.4619
"66","Vitellaria paradoxa",0.797,0,13.6431,0,86.3569,0,34.7246,0,65.2754
"67","Wissadula amplissima",0.8286,43.3365,0,3e-04,56.6632,77.0594,0,0.0374,22.9032
"68","Ximenia americana",0.7474,4.9675,83.9999,9.2501,1.7825,2.7658,87.6404,7.2788,2.315
"69","Zanthoxylum zanthoxyloides",0.7126,72.8625,0,6.4399,20.6976,97.1426,0,1.5855,1.2719
